"journal","discipline","fullTitle"
"Ann Card Anaesth","Anesthesiology","Annals of cardiac anaesthesia"
"Ann Chim","Chemistry","Annali di chimica"
"Ann Clin Biochem","Biochemistry","Annals of clinical biochemistry"
"Ann Clin Lab Sci","Clinical Laboratory Techniques","Annals of clinical and laboratory science"
"Ann Clin Lab Sci","Clinical Laboratory Techniques","Annals of clinical laboratory science"
"Ann Clin Microbiol Antimicrob","Microbiology","Annals of clinical microbiology and antimicrobials"
"Ann Clin Psychiatry","Psychiatry","Annals of clinical psychiatry : official journal of the American Academy of Clinical Psychiatrists"
"Ann Diagn Pathol","Pathology","Annals of diagnostic pathology"
"Ann Dyslexia","Neurology","Annals of dyslexia"
"Ann Emerg Med","Medicine","Annals of emergency medicine"
"Ann Endocrinol (Paris)","Endocrinology","Annales d'endocrinologie"
"Ann Epidemiol","Epidemiology","Annals of epidemiology"
"Ann Fam Med","Medicine","Annals of family medicine"
"Ann Glob Health","Medicine","Annals of global health"
"Ann Health Law","Jurisprudence","Annals of health law / Loyola University Chicago, School of Law, Institute for Health Law"
"Ann Hematol","Hematology","Annals of hematology"
"Ann Hepatol","Gastroenterology","Annals of hepatology"
"Ann Hum Biol","Biology","Annals of human biology"
"Ann Hum Genet","Genetics","Annals of human genetics"
"Ann Intern Med","Medicine","Annals of internal medicine"
"Ann Ist Super Sanita","Public Health","Annali dell'Istituto superiore di sanità"
"Ann Ital Chir","General Surgery","Annali italiani di chirurgia"
"Ann Ital Med Int","Medicine","Annali italiani di medicina interna : organo ufficiale della Società italiana di medicina interna"
"Ann Lab Med","Medicine","Annals of laboratory medicine"
"Ann Med","Medicine","Annals of medicine"
"Ann Med Interne (Paris)","Medicine","Annales de médecine interne"
"Ann N Y Acad Sci","Multidisciplinary","Annals of the New York Academy of Sciences"
"Ann Neurol","Neurology","Annals of neurology"
"Ann Noninvasive Electrocardiol","Cardiology","Annals of noninvasive electrocardiology : the official journal of the International Society for Holter and Noninvasive Electrocardiology, Inc"
"Ann Nucl Med","Medicine","Annals of nuclear medicine"
"Ann Nutr Metab","Nutritional Sciences","Annals of nutrition &metabolism"
"Ann Occup Hyg","Occupational Medicine","The Annals of occupational hygiene"
"Ann Ophthalmol (Skokie)","Ophthalmology","Annals of ophthalmology (Skokie, Ill.)"
"Ann Otol Rhinol Laryngol","Otolaryngology","The Annals of otology, rhinology, and laryngology"
"Ann Palliat Med","Medicine","Annals of palliative medicine"
"Ann Parasitol","Parasitology","Annals of parasitology"
"Ann Pathol","Pathology","Annales de pathologie"
"Ann Pharmacother","Pharmacology","The Annals of pharmacotherapy"
"Ann Plast Surg","General Surgery","Annals of plastic surgery"
"Ann R Australas Coll Dent Surg","General Surgery","Annals of the Royal Australasian College of Dental Surgeons"
"Ann R Coll Surg Engl","General Surgery","Annals of the Royal College of Surgeons of England"
"Ann Rev Mar Sci","Biology","Annual review of marine science"
"Ann Rheum Dis","Rheumatology","Annals of the rheumatic diseases"
"Ann Saudi Med","Medicine","Annals of Saudi medicine"
"Ann Stomatol (Roma)","Dentistry","Annali di stomatologia"
"Ann Surg","General Surgery","Annals of surgery"
"Ann Surg Oncol","General Surgery","Annals of surgical oncology"
"Ann Thorac Cardiovasc Surg","General Surgery","Annals of thoracic and cardiovascular surgery : official journal of the Association of Thoracic and Cardiovascular Surgeons of Asia"
"Ann Thorac Surg","General Surgery","The Annals of thoracic surgery"
"Ann Transplant","Transplantation","Annals of transplantation"
"Ann Trop Paediatr","Pediatrics","Annals of tropical paediatrics"
"Ann Univ Mariae Curie Sklodowska Med","Medicine","Annales Universitatis Mariae Curie-Skłodowska. Sectio D: Medicina"
"Ann Vasc Surg","General Surgery","Annals of vascular surgery"
"Annu Proc Assoc Adv Automot Med","Medicine","Annual proceedings / Association for the Advancement of Automotive Medicine. Association for the Advancement of Automotive Medicine"
"Annu Rev Anal Chem (Palo Alto Calif)","Chemistry Techniques, Analytical","Annual review of analytical chemistry (Palo Alto, Calif.)"
"Annu Rev Biochem","Biochemistry","Annual review of biochemistry"
"Annu Rev Biomed Eng","Medicine","Annual review of biomedical engineering"
"Annu Rev Biophys","Biophysics","Annual review of biophysics"
"Annu Rev Biophys Biomol Struct","Biophysics","Annual review of biophysics and biomolecular structure"
"Annu Rev Cell Dev Biol","Cell Biology","Annual review of cell and developmental biology"
"Annu Rev Chem Biomol Eng","Molecular Biology","Annual review of chemical and biomolecular engineering"
"Annu Rev Clin Psychol","Psychology","Annual review of clinical psychology"
"Annu Rev Entomol","Zoology","Annual review of entomology"
"Annu Rev Food Sci Technol","Unclassified","Annual review of food science and technology"
"Annu Rev Genet","Genetics","Annual review of genetics"
"Annu Rev Genomics Hum Genet","Genetics","Annual review of genomics and human genetics"
"Annu Rev Immunol","Immunology","Annual review of immunology"
"Annu Rev Med","Medicine","Annual review of medicine"
"Annu Rev Microbiol","Microbiology","Annual review of microbiology"
"Annu Rev Neurosci","Neurology","Annual review of neuroscience"
"Annu Rev Nurs Res","Nursing","Annual review of nursing research"
"Annu Rev Nutr","Nutritional Sciences","Annual review of nutrition"
"Annu Rev Pathol","Pathology","Annual review of pathology"
"Annu Rev Pharmacol Toxicol","Pharmacology","Annual review of pharmacology and toxicology"
"Annu Rev Phys Chem","Chemistry","Annual review of physical chemistry"
"Annu Rev Physiol","Physiology","Annual review of physiology"
"Annu Rev Phytopathol","Botany","Annual review of phytopathology"
"Annu Rev Plant Biol","Botany","Annual review of plant biology"
"Annu Rev Psychol","Psychology","Annual review of psychology"
"Annu Rev Public Health","Public Health","Annual review of public health"
"ANS Adv Nurs Sci","Nursing","ANS. Advances in nursing science"
"Anthropol Anz","Anthropology","Anthropologischer Anzeiger; Bericht ̈ber die biologisch-anthropologische Literatur"
"Anthropol Med","Medicine","Anthropology &medicine"
"Anticancer Agents Med Chem","Medicine","Anti-cancer agents in medicinal chemistry"
"Anticancer Drugs","Antineoplastic Agents","Anti-cancer drugs"
"Anticancer Res","Neoplasms","Anticancer research"
"Antimicrob Agents Chemother","Anti-Infective Agents","Antimicrobial agents and chemotherapy"
"Antioxid Redox Signal","Metabolism","Antioxidants &redox signaling"
"Antivir Chem Chemother","Anti-Infective Agents","Antiviral chemistry &chemotherapy"
"Antiviral Res","Anti-Infective Agents","Antiviral research"
"Antonie Van Leeuwenhoek","Microbiology","Antonie van Leeuwenhoek"
"Anxiety Stress Coping","Unclassified","Anxiety, stress, and coping"
"ANZ J Surg","General Surgery","ANZ journal of surgery"
"AORN","Nursing","AORN journal"
"APMIS","Pathology","APMIS : acta pathologica, microbiologica, et immunologica Scandinavica"
"Apoptosis","Cell Biology","Apoptosis : an international journal on programmed cell death"
"Appetite","Nutritional Sciences","Appetite"
"Appl Biochem Biotechnol","Biotechnology","Applied biochemistry and biotechnology"
"Appl Bioinformatics","Bioinformatics","Applied bioinformatics"
"Appl Environ Microbiol","Microbiology","Applied and environmental microbiology"
"Appl Ergon","Psychology","Applied ergonomics"
"Appl Health Econ Health Policy","Medicine","Applied health economics and health policy"
"Appl Immunohistochem Mol Morphol","Allergy and Immunology","Applied immunohistochemistry &molecular morphology : AIMM / official publication of the Society for Applied Immunohistochemistry"
"Appl Microbiol Biotechnol","Biotechnology","Applied microbiology and biotechnology"
"Appl Neuropsychol","Neurology","Applied neuropsychology"
"Appl Neuropsychol Adult","Neurology","Applied neuropsychology. Adult"
"Appl Neuropsychol Child","Neurology","Applied neuropsychology. Child"
"Appl Nurs Res","Nursing","Applied nursing research : ANR"
"Appl Occup Environ Hyg","Environmental Health","Applied occupational and environmental hygiene"
"Appl Opt","Ophthalmology","Applied optics"
"Appl Physiol Nutr Metab","Nutritional Sciences","Applied physiology, nutrition, and metabolism = Physiologie appliquée, nutrition et métabolisme"
"Appl Psychophysiol Biofeedback","Unclassified","Applied psychophysiology and biofeedback"
"Appl Radiat Isot","Unclassified","Applied radiation and isotopes : including data, instrumentation and methods for use in agriculture, industry and medicine"
"Appl Spectrosc","Unclassified","Applied spectroscopy"
"Aquat Toxicol","Toxicology","Aquatic toxicology (Amsterdam, Netherlands)"
"Arab J Gastroenterol","Gastroenterology","Arab journal of gastroenterology : the official publication of the Pan-Arab Association of Gastroenterology"
"Arch Anim Nutr","Nutritional Sciences","Archives of animal nutrition"
"Arch Argent Pediatr","Pediatrics","Archivos argentinos de pediatría"
"Arch Biochem Biophys","Biophysics","Archives of biochemistry and biophysics"
"Arch Bronconeumol","Neoplasms","Archivos de bronconeumología"
"Arch Cardiol Mex","Cardiology","Archivos de cardiología de México"
"Arch Cardiovasc Dis","Cardiology","Archives of cardiovascular diseases"
"Arch Clin Neuropsychol","Neurology","Archives of clinical neuropsychology : the official journal of the National Academy of Neuropsychologists"
"Arch Dermatol","Dermatology","Archives of dermatology"
"Arch Dermatol Res","Dermatology","Archives for dermatological research = Archiv für dermatologische Forschung"
"Arch Dermatol Res","Dermatology","Archives of dermatological research"
"Arch Dis Child","Pediatrics","Archives of disease in childhood"
"Arch Dis Child Educ Pract Ed","Pediatrics","Archives of disease in childhood. Education and practice edition"
"Arch Dis Child Fetal Neonatal Ed","Medicine","Archives of disease in childhood. Fetal and neonatal edition"
"Arch Endocrinol Metab","Endocrinology","Archives of endocrinology and metabolism"
"Arch Environ Contam Toxicol","Toxicology","Archives of environmental contamination and toxicology"
"Arch Environ Health","Environmental Health","Archives of environmental health"
"Arch Environ Occup Health","Environmental Health","Archives of environmental &occupational health"
"Arch Esp Urol","Urology","Archivos españoles de urología"
"Arch Facial Plast Surg","General Surgery","Archives of facial plastic surgery"
"Arch Gen Psychiatry","Psychiatry","Archives of general psychiatry"
"Arch Gerontol Geriatr","Geriatrics","Archives of gerontology and geriatrics"
"Arch Gynecol Obstet","Gynecology","Archives of gynecology and obstetrics"
"Arch Histol Cytol","Cell Biology","Archives of histology and cytology"
"Arch Immunol Ther Exp (Warsz)","Immunology","Archivum immunologiae et therapiae experimentalis"
"Arch Insect Biochem Physiol","Physiology","Archives of insect biochemistry and physiology"
"Arch Intern Med","Medicine","Archives of internal medicine"
"Arch Iran Med","Medicine","Archives of Iranian medicine"
"Arch Ital Urol Androl","Urology","Archivio italiano di urologia, andrologia : organo ufficiale [di] Società italiana di ecografia urologica e nefrologica / Associazione ricerche in urologia"
"Arch Kriminol","Unclassified","Archiv für Kriminologie"
"Arch Latinoam Nutr","Nutritional Sciences","Archivos latinoamericanos de nutrición"
"Arch Med Res","Medicine","Archives of medical research"
"Arch Med Sadowej Kryminol","Medicine","Archiwum medycyny sa̧dowej i kryminologii"
"Arch Microbiol","Microbiology","Archives of microbiology"
"Arch Neurol","Neurology","Archives of neurology"
"Arch Ophthalmol","Ophthalmology","Archives of ophthalmology (Chicago, Ill. : 1960)"
"Arch Oral Biol","Dentistry","Archives of oral biology"
"Arch Orthop Trauma Surg","Traumatology","Archives of orthopaedic and trauma surgery"
"Arch Orthop Trauma Surg","Traumatology","Archives of orthopaedic and traumatic surgery. Archiv für orthopädische und Unfall-Chirurgie"
"Arch Osteoporos","Medicine","Archives of osteoporosis"
"Arch Otolaryngol Head Neck Surg","Otolaryngology","Archives of otolaryngology--head &neck surgery"
"Arch Pathol Lab Med","Medicine","Archives of pathology &laboratory medicine"
"Arch Pediatr Adolesc Med","Medicine","Archives of pediatrics &adolescent medicine"
"Arch Pharm (Weinheim)","Pharmacology","Archiv der Pharmazie"
"Arch Pharm Res","Pharmacology","Archives of pharmacal research"
"Arch Phys Med Rehabil","Medicine","Archives of physical medicine and rehabilitation"
"Arch Physiol Biochem","Physiology","Archives of physiology and biochemistry"
"Arch Psychiatr Nurs","Psychiatry","Archives of psychiatric nursing"
"Arch Sex Behav","Psychology","Archives of sexual behavior"
"Arch Suicide Res","Behavioral Sciences","Archives of suicide research : official journal of the International Academy for Suicide Research"
"Arch Surg","General Surgery","Archives of surgery (Chicago, Ill. : 1920)"
"Arch Surg","General Surgery","Archives of surgery (Chicago, Ill. : 1960)"
"Arch Toxicol","Toxicology","Archives of toxicology"
"Arch Virol","Virology","Archives of virology"
"Arch Womens Ment Health","Psychology","Archives of women's mental health"
